Driver Record,Territory,Grid Step,Number of  Minor Convictions,Number of Major Convictions,# Criminal Code Convictions,Number of At Fault Claims,Claim Amount,NumGen,Claim Amount Gen
9,TheWall,-15,2,2,2,2,102900,0.984,101251.4812
9,HighGarden,-15,2,2,0,2,72900,0.334,24351.26916
9,TheWall,-15,2,2,0,2,72900,0.220,16027.64741
9,TheWall,-15,2,2,0,2,72900,0.766,55830.07652
9,TheWall,-15,2,2,0,2,72900,0.521,37958.21895
9,TheWall,-15,2,2,0,2,72900,0.976,71125.71297
4,TheWall,-15,2,2,0,2,72900,0.801,58425.34935
9,TheWall,-15,2,2,0,2,72900,0.849,61894.60697
9,TheWall,-15,2,2,0,2,72900,0.854,62254.20804
9,TheWall,-15,2,2,0,2,72900,0.498,36296.48775
9,TheWall,-15,2,2,0,2,72900,0.873,63619.2606
9,TheWall,-15,2,2,0,2,72900,0.618,45085.19107
9,TheWall,-15,2,2,0,2,72900,0.198,14451.83927
9,TheWall,-15,2,2,0,2,72900,0.787,57350.93756
9,TheWall,-15,2,2,0,2,72900,0.888,64769.11746
9,TheWall,-15,2,2,0,2,72900,0.844,61516.38424
9,TheWall,-15,2,2,0,2,72900,0.259,18887.05788
9,TheWall,-15,2,2,0,2,72900,0.680,49540.29121
6,TheWall,-15,2,2,0,2,72900,0.728,53055.56511
9,HighGarden,-15,2,2,0,2,72900,0.251,18276.26251
9,HighGarden,-15,2,2,0,2,72900,0.382,27824.57815
9,TheWall,-15,2,2,0,2,72900,0.584,42570.20182
9,TheWall,-15,2,2,0,2,72900,0.125,9147.936164
8,HighGarden,-15,2,2,0,2,72900,0.339,24705.90654
9,HighGarden,-15,2,2,0,2,72900,0.179,13021.2926
9,HighGarden,-15,2,2,0,2,72900,0.752,54785.74343
9,HighGarden,-15,2,2,0,2,72900,0.846,61691.7015
9,TheWall,-15,2,2,0,2,72900,0.158,11499.95873
9,TheWall,-15,2,2,0,2,72900,0.350,25523.61371
3,TheWall,-2,1,1,0,1,36400,0.521,18981.30451
8,TheWall,-15,2,2,0,2,72900,0.504,36768.88566
9,HighGarden,-15,2,2,0,2,72900,0.284,20689.89512
9,HighGarden,-15,2,2,0,2,72900,0.287,20899.38438
9,TheWall,-15,2,2,0,2,72900,0.607,44245.89556
9,TheWall,-15,2,2,0,2,72900,0.283,20601.84706
