policy number,Policy Effective Date,Vehicle number,Unique_ID,Rate Class,Driver Record,Territory (categorical),Territory,BI Limit,Blend Min & Maj Market Convictions for Model,# Criminal Code Convictions W/I 4 Years,# At-Fault Claims w/I 3 yrs for Market Principal,
A00-000003,2022-03-09 0:01,9,000003-9-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-000015,2022-04-02 0:01,36,000015-36-1,1,9,Rest of Alberta,3,1000000,0,0,0,
A00-000027,2022-03-22 0:01,8,000027-8-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-000029,2022-03-20 0:01,2,000029-2-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-000033,2022-03-27 0:01,2,000033-2-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-000033,2022-03-27 0:01,3,000033-3-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-000034,2022-03-28 0:01,3,000034-3-1,1,4,Edmonton,1A,1000000,0,0,0,
A00-000036,2022-03-31 0:01,5,000036-5-2,2,9,Edmonton,1A,2000000,0,0,0,
A00-000036,2022-03-31 0:01,8,000036-8-1,1,9,Edmonton,1A,2000000,0,0,0,
A00-000038,2022-04-28 0:01,4,000038-4-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-000044,2022-04-10 0:01,32,000044-32-1,1,9,Edmonton,1A,2000000,0,0,0,
A00-000044,2022-04-10 0:01,38,000044-38-1,1,9,Edmonton,1A,0,0,0,0,
A00-000044,2022-04-10 0:01,39,000044-39-1,1,9,Edmonton,1A,2000000,4,0,0,
A00-000044,2022-04-10 0:01,41,000044-41-1,1,9,Edmonton,1A,2000000,0,0,0,
A00-000044,2022-04-10 0:01,42,000044-42-1,1,9,Edmonton,1A,2000000,0,0,0,
A00-000048,2022-04-04 0:01,14,000048-14-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-000054,2022-04-11 0:01,4,000054-4-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-000058,2022-04-09 0:01,2,000058-2-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-000058,2022-04-09 0:01,5,000058-5-1,1,6,Edmonton,1A,1000000,0,0,1,
A00-000067,2022-04-11 0:01,3,000067-3-1,1,9,Rest of Alberta,3,2000000,0,0,0,
A00-000067,2022-04-11 0:01,4,000067-4-2,2,9,Rest of Alberta,3,2000000,0,0,0,
A00-000067,2022-04-11 0:01,5,000067-5-1,1,9,Edmonton,1A,2000000,0,0,0,
A00-000080,2022-04-28 0:01,5,000080-5-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-000083,2022-05-01 0:01,5,000083-5-1,1,8,Rest of Alberta,3,2000000,0,0,0,
A00-000083,2022-05-01 0:01,7,000083-7-1,1,9,Rest of Alberta,3,2000000,0,0,0,
A00-000093,2022-05-02 0:01,8,000093-8-1,1,9,Rest of Alberta,3,1000000,0,0,0,
A00-000093,2022-05-02 0:01,9,000093-9-2,2,9,Rest of Alberta,3,1000000,0,0,0,
A00-000111,2022-05-05 0:01,1,000111-1-1,1,9,Edmonton,1A,0,0,0,0,
A00-000111,2022-05-05 0:01,8,000111-8-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-000111,2022-05-05 0:01,8,000111-8-6,6,3,Edmonton,1A,1000000,0,0,0,
A00-000119,2022-05-13 0:01,6,000119-6-2,2,8,Edmonton,1A,1000000,0,0,0,
A00-000123,2022-05-20 0:01,4,000123-4-1,1,9,Rest of Alberta,3,0,0,0,0,
A00-000123,2022-05-20 0:01,6,000123-6-1,1,9,Rest of Alberta,3,0,0,0,0,
A00-000125,2022-05-17 0:01,8,000125-8-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-000125,2022-05-17 0:01,11,000125-11-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-000130,2022-06-19 0:01,2,000130-2-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-000133,2022-05-22 0:01,15,000133-15-2,2,9,Edmonton,1A,1000000,0,0,0,
